scientific_name,msy_multiple_fishing,fishing_mort_bau,fishing_mort_rb,percent_mort_diff,mort_scenario,simulation_avm,simulation_prm,n_div_k,pred_avm_25,pred_avm_mean,pred_avm_75,pred_prm_25,pred_prm_mean,pred_prm_75
Carcharodon carcharias,2,0.12421085536244632,0.11483625500846482,7.547327748952765,Median Mortality,0.3646722578046267,0.2069619387662949,0.503839700960457,0.28531428571428574,0.3646722578046267,0.38,0.11501923076923076,0.2069619387662949,0.3703896103896104
Carcharodon carcharias,2,0.12421085536244632,0.11483625500846482,7.547327748952765,High Mortality,0.38,0.3703896103896104,0.39036992047999614,0.28531428571428574,0.3646722578046267,0.38,0.11501923076923076,0.2069619387662949,0.3703896103896104
Centrophorus atromarginatus,2,0.07113539468211277,0.0590011371314487,17.05797459181775,BAU,1,1,0.06513499482348953,0.1317177805280528,0.4216618323309951,0.7160805604203153,0.07399999999999995,0.404541584841087,0.75
Centrophorus atromarginatus,2,0.07113539468211277,0.0590011371314487,17.05797459181775,Low Mortality,0.1317177805280528,0.07399999999999995,0.8040305989611576,0.1317177805280528,0.4216618323309951,0.7160805604203153,0.07399999999999995,0.404541584841087,0.75
Centrophorus atromarginatus,2,0.07113539468211277,0.0590011371314487,17.05797459181775,Median Mortality,0.4216618323309951,0.404541584841087,0.3459628635280593,0.1317177805280528,0.4216618323309951,0.7160805604203153,0.07399999999999995,0.404541584841087,0.75
Centrophorus atromarginatus,2,0.07113539468211277,0.0590011371314487,17.05797459181775,High Mortality,0.7160805604203153,0.75,0.10679992610180256,0.1317177805280528,0.4216618323309951,0.7160805604203153,0.07399999999999995,0.404541584841087,0.75
Centrophorus granulosus,2,0.03950389,0.037571825782680555,4.890820163076205,BAU,1,1,0.11174981220685812,0.045,0.12384412032086509,0.25,0.07399999999999995,0.39491742929778856,0.75
Centrophorus granulosus,2,0.03950389,0.037571825782680555,4.890820163076205,Low Mortality,0.045,0.07399999999999995,0.8844160493504983,0.045,0.12384412032086509,0.25,0.07399999999999995,0.39491742929778856,0.75
Centrophorus granulosus,2,0.03950389,0.037571825782680555,4.890820163076205,Median Mortality,0.12384412032086509,0.39491742929778856,0.5338135179726886,0.045,0.12384412032086509,0.25,0.07399999999999995,0.39491742929778856,0.75
Centrophorus granulosus,2,0.03950389,0.037571825782680555,4.890820163076205,High Mortality,0.25,0.75,0.22950309780908967,0.045,0.12384412032086509,0.25,0.07399999999999995,0.39491742929778856,0.75
