scientific_name,common_name,order_name,family_name,genus_name,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated
Mustelus lenticulatus,Spotted estuary smooth-hound,carcharhiniformes,triakidae,Mustelus,ram,151,total_length,110.5,yolk-sac viviparity,demersal
Carcharodon carcharias,Great white shark,lamniformes,lamnidae,Carcharodon,ram,594.4,total_length,600,oophagy,pelagic
Scymnodon ringens,Knifetooth dogfish,squaliformes,somniosidae,Scymnodon,stationary,110,total_length,900,yolk-sac viviparity,bathypelagic
Squatina squatina,Angelshark,squatiniformes,squatinidae,Squatina,stationary,244,total_length,76,yolk-sac viviparity,benthocoastal
Squalus blainville,Longnose spurdog,squaliformes,squalidae,Squalus,stationary,920,total_length,757.5,yolk-sac viviparity,benthopelagic
Galeus,Sawtail catsharks,carcharhiniformes,pentanchidae,Galeus,stationary,,total_length,,oviparous,demersal
Centrophorus lusitanicus,Lowfin gulper shark,squaliformes,centrophoridae,Centrophorus,stationary,119,total_length,850,yolk-sac viviparity,bathydemersal
Glaucostegus cemiculus,Blackchin guitarfish,rhinopristiformes,glaucostegidae,Glaucostegus,stationary,245,total_length,54.5,yolk-sac viviparity,demersal
Somniosus microcephalus,Greenland shark,squaliformes,somniosidae,Somniosus,stationary,730,total_length,1323.5,yolk-sac viviparity,benthopelagic
Mustelus asterias,Starry smooth-hound,carcharhiniformes,triakidae,Mustelus,ram,140,total_length,99.5,yolk-sac viviparity,demersal
Leptocharias smithii,Barbeled houndshark,carcharhiniformes,leptochariidae,Leptocharias,stationary,82,total_length,42.5,placental viviparity,demersal
Rhizoprionodon terraenovae,Atlantic sharpnose shark,carcharhiniformes,carcharhinidae,Rhizoprionodon,ram,113,total_length,140,placental viviparity,coastal
Rhincodon typus,Whale shark,orectolobiformes,rhincodontidae,Rhincodon,ram,1700,total_length,964,yolk-sac viviparity,pelagic
Mustelus lunulatus,Sicklefin smooth-hound,carcharhiniformes,triakidae,Mustelus,ram,175,total_length,104.5,yolk-sac viviparity,demersal
Nasolamia velox,Whitenose shark,carcharhiniformes,carcharhinidae,Nasolamia,ram,165,total_length,96,placental viviparity,demersal
Rhizoprionodon longurio,Pacific sharpnose shark,carcharhiniformes,carcharhinidae,Rhizoprionodon,ram,154,total_length,13.5,placental viviparity,coastal
Sphyrna corona,Scalloped bonnethead,carcharhiniformes,sphyrnidae,Sphyrna,ram,92,total_length,50,placental viviparity,coastal
Mustelus whitneyi,Humpback smooth-hound,carcharhiniformes,triakidae,Mustelus,ram,87,total_length,113.5,yolk-sac viviparity,demersal
Pseudobatos planiceps,Pacific guitarfish,rhinopristiformes,rhinobatidae,Pseudobatos,stationary,98,total_length,25,yolk-sac viviparity,demersal
Carcharhinus signatus,Night shark,carcharhiniformes,carcharhinidae,Carcharhinus,ram,280,total_length,300,placental viviparity,coastal-pelagic
Triakis megalopterus,Sharptooth houndshark,carcharhiniformes,triakidae,Triakis,ram,207.5,total_length,25,yolk-sac viviparity,demersal
Hemitriakis japanica,Japanese topeshark,carcharhiniformes,triakidae,Hemitriakis,stationary,120,total_length,50.5,yolk-sac viviparity,demersal
Oxynotus paradoxus,Sailfin roughshark,squaliformes,oxynotidae,Oxynotus,stationary,118,total_length,492.5,yolk-sac viviparity,bathydemersal
Squatina guggenheim,Angular angel shark,squatiniformes,squatinidae,Squatina,stationary,96,total_length,78.5,yolk-sac viviparity,benthocoastal
Triakis semifasciata,Leopard shark,carcharhiniformes,triakidae,Triakis,ram,213,total_length,78,yolk-sac viviparity,demersal
Apristurus brunneus,Brown catshark,carcharhiniformes,pentanchidae,Apristurus,stationary,69.3,total_length,682.5,oviparous,demersal
Carcharhinus amblyrhynchoides,Graceful shark,carcharhiniformes,carcharhinidae,Carcharhinus,ram,182,total_length,37.5,placental viviparity,coastal
