scientific_name,evol_dist,family,group
Cephaloscyllium variegatum,21.349273342787207,Scyliorhinidae,Sharks
Cephaloscyllium fasciatum,54.94696583459531,Scyliorhinidae,Sharks
Cephaloscyllium isabellum,31.415839806297654,Scyliorhinidae,Sharks
Cephaloscyllium ventriosum,16.786693459648827,Scyliorhinidae,Sharks
Scyliorhinus torazame,106.89088722838125,Scyliorhinidae,Sharks
Schroederichthys saurisqualus,73.93821731256563,Scyliorhinidae,Sharks
Schroederichthys tenuis,73.93821731256563,Scyliorhinidae,Sharks
Schroederichthys bivius,40.92193282453282,Scyliorhinidae,Sharks
Schroederichthys chilensis,70.43547335106562,Scyliorhinidae,Sharks
Aulohalaelurus labiosus,82.49069423106562,Scyliorhinidae,Sharks
Aulohalaelurus kanakorum,82.49069423106562,Scyliorhinidae,Sharks
Atelomycterus baliensis,72.94691415803281,Scyliorhinidae,Sharks
Atelomycterus marmoratus,72.94691415803281,Scyliorhinidae,Sharks
Atelomycterus macleayi,67.69343883803282,Scyliorhinidae,Sharks
Atelomycterus fasciatus,39.368345787516404,Scyliorhinidae,Sharks
Atelomycterus marnkalha,39.368345787516404,Scyliorhinidae,Sharks
Bythaelurus hispidus,53.55151405591445,Pentanchidae,Sharks
Bythaelurus clevai,53.55151405591445,Pentanchidae,Sharks
Bythaelurus lutarius,58.042411759957226,Pentanchidae,Sharks
Bythaelurus dawsoni,58.042411759957226,Pentanchidae,Sharks
Bythaelurus canescens,23.601406302464305,Pentanchidae,Sharks
Bythaelurus immaculatus,51.68927202995722,Pentanchidae,Sharks
Figaro boardmani,53.37029036091445,Pentanchidae,Sharks
Figaro striatus,53.37029036091445,Pentanchidae,Sharks
Asymbolus occiduus,35.12770332047861,Pentanchidae,Sharks
Asymbolus parvus,16.306257727869653,Pentanchidae,Sharks
Asymbolus rubiginosus,33.17268298047861,Pentanchidae,Sharks
Asymbolus pallidus,48.20471451245723,Pentanchidae,Sharks
Asymbolus analis,33.551296656228615,Pentanchidae,Sharks
Asymbolus vincenti,33.551296656228615,Pentanchidae,Sharks
Galeus murinus,106.89748344682891,Pentanchidae,Sharks
Galeus gracilis,16.801041167676807,Pentanchidae,Sharks
Galeus atlanticus,22.752283163213402,Pentanchidae,Sharks
Galeus polli,22.106436741213404,Pentanchidae,Sharks
Galeus longirostris,14.245762176106702,Pentanchidae,Sharks
Galeus melastomus,14.245762176106702,Scyliorhinidae,Sharks
Galeus melastomus,14.245762176106702,Pentanchidae,Sharks
Galeus nipponensis,31.235459163353614,Pentanchidae,Sharks
Galeus mincaronei,26.862603224926808,Pentanchidae,Sharks
Galeus schultzi,26.862603224926808,Pentanchidae,Sharks
Galeus piperatus,47.02402472185361,Pentanchidae,Sharks
Apristurus profundorum,41.514062158603615,Pentanchidae,Sharks
Apristurus pinguis,41.514062158603615,Pentanchidae,Sharks
Apristurus albisoma,37.42790935180181,Pentanchidae,Sharks
Apristurus aphyodes,29.676634192400904,Pentanchidae,Sharks
Apristurus fedorovi,21.41968824570045,Pentanchidae,Sharks
Apristurus nasutus,15.469296645350227,Pentanchidae,Sharks
Apristurus ampliceps,23.90731478327545,Pentanchidae,Sharks
Apristurus macrostomus,23.907313783275452,Pentanchidae,Sharks
Apristurus internatus,29.145301366400904,Pentanchidae,Sharks
Apristurus microps,17.14741450120045,Pentanchidae,Sharks
Apristurus manis,17.14741450120045,Pentanchidae,Sharks
Apristurus saldanha,35.39150262680181,Pentanchidae,Sharks
Apristurus longicephalus,60.01563721360361,Pentanchidae,Sharks
Apristurus australis,13.06588268845045,Pentanchidae,Sharks
Apristurus bucephalus,43.30373100580181,Pentanchidae,Sharks
Apristurus melanoasper,62.94156334822861,Pentanchidae,Sharks
Apristurus japonicus,8.590481707290287,Pentanchidae,Sharks
Apristurus platyrhynchus,8.590482707290288,Pentanchidae,Sharks
Apristurus herklotsi,17.094902805820578,Pentanchidae,Sharks
Apristurus sinensis,15.967351850278575,Pentanchidae,Sharks
Apristurus laurussonii,15.967350850278576,Pentanchidae,Sharks
Apristurus brunneus,39.39666755411431,Pentanchidae,Sharks
Apristurus exsanguis,40.154306905114304,Pentanchidae,Sharks
Apristurus gibbosus,40.154306905114304,Pentanchidae,Sharks
Apristurus macrorhynchus,50.8261171,Pentanchidae,Sharks
