scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Apristurus macrostomus,,Pentanchidae,demersal,57.3,stationary,lecithotrophic oviparity,644.5,2.41305,,this study,Apristurus,macrostomus
Apristurus micropterygeus,,Pentanchidae,demersal,38.1,stationary,lecithotrophic oviparity,913,2.41305,,this study,Apristurus,micropterygeus
Pliotrema warreni,,Pristiophoridae,demersal,170,stationary,lecithotrophic viviparity,462.5,7.364,Pristiophoriformes,this study,Pliotrema,warreni
Centrophorus isodon,,Centrophoridae,demersal,108.2,stationary,lecithotrophic viviparity,602.5,10.49903846,Squaliformes,this study,Centrophorus,isodon
Etmopterus sheikoi,,Etmopteridae,pelagic,43.20000076,stationary,lecithotrophic viviparity,355,6.274288889,Squaliformes,this study,Etmopterus,sheikoi
Centroscyllium granulatum,,Etmopteridae,pelagic,61.5,stationary,lecithotrophic viviparity,355,4.034025,Squaliformes,this study,Centroscyllium,granulatum
Scymnodalatias oligodon,,Somniosidae,pelagic,26,stationary,lecithotrophic viviparity,100,4.2579,,this study,Scymnodalatias,oligodon
Mustelus dorsalis,,Triakidae,demersal,66,ram,lecithotrophic viviparity,110,7.4479,,this study,Mustelus,dorsalis
Sphyrna corona,,Sphyrnidae,demersal,92,ram,matrotrophic viviparity,50,15.965,Carcharhiniformes,this study,Sphyrna,corona
Cephaloscyllium sufflans,,Scyliorhinidae,demersal,110,stationary,lecithotrophic viviparity,320,5.9196,,this study,Cephaloscyllium,sufflans
Halaelurus natalensis,,Pentanchidae,demersal,45,stationary,lecithotrophic oviparity,86,6.4218,,this study,Halaelurus,natalensis
Pseudoginglymostoma brevicaudatum,,Ginglymostomatidae,pelagic,75,stationary,lecithotrophic oviparity,10,6.246810345,,this study,Pseudoginglymostoma,brevicaudatum
Galeus polli,,Pentanchidae,demersal,45,stationary,lecithotrophic oviparity,460,9.9831,,this study,Galeus,polli
Mustelus minicanis,,Triakidae,pelagic,47.79999924,ram,lecithotrophic viviparity,127,9.853114,,this study,Mustelus,minicanis
Centrophorus tessellatus,,Centrophoridae,pelagic,89,stationary,lecithotrophic viviparity,376,10.49903846,,this study,Centrophorus,tessellatus
Pristiophorus schroederi,,Pristiophoridae,demersal,86.5,stationary,lecithotrophic viviparity,695,5.9166,,this study,Pristiophorus,schroederi
Etmopterus carteri,,Etmopteridae,pelagic,21.2,stationary,lecithotrophic viviparity,324.5,6.274288889,,this study,Etmopterus,carteri
Etmopterus perryi,,Etmopteridae,pelagic,17,stationary,lecithotrophic viviparity,380,6.274288889,,this study,Etmopterus,perryi
Etmopterus princeps,,Etmopteridae,demersal,94,stationary,lecithotrophic viviparity,1281.5,7.8199,,this study,Etmopterus,princeps
Etmopterus virens,,Etmopteridae,demersal,23,stationary,lecithotrophic viviparity,550,1.1782,Squaliformes,this study,Etmopterus,virens
Mustelus palumbes,,Triakidae,demersal,120,ram,lecithotrophic viviparity,221.5,7.2205,,this study,Mustelus,palumbes
Mustelus whitneyi,,Triakidae,demersal,87,ram,lecithotrophic viviparity,113.5,9.853114,,this study,Mustelus,whitneyi
Oxynotus centrina,,Oxynotidae,demersal,150,stationary,lecithotrophic viviparity,420,19.152,Squaliformes,this study,Oxynotus,centrina
Galeus atlanticus,,Pentanchidae,demersal,46,stationary,lecithotrophic oviparity,559.5,6.907833333,,this study,Galeus,atlanticus
Etmopterus burgessi,,Etmopteridae,pelagic,35.5,stationary,lecithotrophic viviparity,450,6.274288889,,this study,Etmopterus,burgessi
Galeus schultzi,,Pentanchidae,demersal,29.7,stationary,lecithotrophic oviparity,380,6.907833333,,this study,Galeus,schultzi
Scyliorhinus boa,,Scyliorhinidae,demersal,54,stationary,lecithotrophic oviparity,502.5,8.9471,,this study,Scyliorhinus,boa
Nasolamia velox,,Carcharhinidae,demersal,165,ram,matrotrophic viviparity,96,7.9069,Carcharhiniformes,this study,Nasolamia,velox
Oxynotus paradoxus,,Oxynotidae,demersal,118,stationary,lecithotrophic viviparity,492.5,19.152,Squaliformes,this study,Oxynotus,paradoxus
Hemitriakis complicofasciata,,Triakidae,pelagic,95.5,ram,lecithotrophic viviparity,95,5.9831,Carcharhiniformes,this study,Hemitriakis,complicofasciata
Etmopterus spinax,,Etmopteridae,demersal,55,stationary,lecithotrophic viviparity,1280,7.6416,Squaliformes,this study,Etmopterus,spinax
Triakis scyllium,,Triakidae,demersal,150,ram,lecithotrophic viviparity,90,6.0669,Carcharhiniformes,this study,Triakis,scyllium
Galeus sauteri,,Pentanchidae,demersal,38,stationary,lecithotrophic oviparity,75,7.0771,,this study,Galeus,sauteri
Squalus hemipinnis,,Squalidae,pelagic,78,stationary,lecithotrophic viviparity,50.5,7.737926667,Squaliformes,this study,Squalus,hemipinnis
Somniosus rostratus,,Somniosidae,demersal,143,stationary,lecithotrophic viviparity,765,5.5455,,this study,Somniosus,rostratus
Squalus japonicus,,Squalidae,demersal,105,stationary,lecithotrophic viviparity,225,7.737926667,Squaliformes,this study,Squalus,japonicus
Scyliorhinus torazame,,Scyliorhinidae,demersal,500,stationary,lecithotrophic oviparity,160,7.1484,,this study,Scyliorhinus,torazame
