ac,eo,species
6.258,0.50427,Anoplodactylus arnaudae
1,1.0508,Anoplodactylus australis
11.845,0.45853,Anoplodactylus batangensis
5.7575,0.5324,Anoplodactylus erectus
7.9462,0.25356,Anoplodactylus insignis
7.9223,0.2643,Anoplodactylus lentus
6.6714,0.16414,Anoplodactylus maritimus
6.8301,0.062589,Anoplodactylus petiolatus
22.616,0.77359,Anoplodactylus pycnosoma
5.3505,0.050909,Anoplodactylus pygmaeus
1.507,1.5647,Antarctiloxoconcha frigida
2.147,0.53343,Antarctodius antarcticus
1.0197,1.1149,Antarctomysis maxima
1.2623,1.4618,Antarctomysis ohlinii
2.1959,0.58655,Antarcturus furcatus
1.17,0.91656,Antarcturus spinacoronatus
6.4125,0.21039,Antarctus mawsoni
1.0025,1.2194,Antatelson walkeri
4.9289,-0.011891,Anthosoma crassum
6.3118,0.066596,Anthura gracilis
9.9802,0.75086,Antrocarcinus petrosus
1.103,1.1086,Aora anomala
6.1643,0.34484,Aora gracilis
5.2107,0.013474,Aora hebes
1.2693,0.92347,Aora kergueleni
5.2318,0.051453,Aora spinicornis
6.6456,0.38389,Aora typica
5.0239,-0.0079113,Aoroides columbiae
4.8875,0.083973,Aoroides exilis
5.0176,0.13906,Aoroides inermis
5.2814,0.24862,Aoroides intermedius
5.243,0.043374,Apanthura drosera
4.6659,-0.70761,Apanthura styphelia
6.0458,0.20149,Apherusa bispinosa
5.2382,0.07795,Apherusa chiereghinii
5.0345,0.15331,Apherusa cirrus
5.7625,0.09882,Apherusa clevei
4.4139,0.12091,Apherusa glacialis
5.4972,0.07928,Apherusa ovalipes
3.0408,0.30566,Apherusa sarsii
1.0028,1.8578,Apherusa tridentata
1.2768,1.7285,Aphotopontius atlanteus
8.6347,0.24414,Apocorophium acutum
5.8222,0.041248,Apocorophium lacustre
2.5317,-1.4146,Apocorophium louisianum
8.8848,0.27387,Apocorophium simile
5.2842,-0.055838,Apodopsyllus spinipes
3.4391,-0.25693,Apolochus casahoya
1.0685,-2,Apolochus likelike
5.1678,0.13453,Apolochus spencebatei
5.6343,-0.154,Apseudes atuini
6.9075,-0.068631,Apseudes larseni
5.1877,0.022111,Apseudes poorei
1.1699,1.9867,Apseudes spectabilis
5.5773,0.15192,Apseudes talpa
5.0827,-0.15041,Apseudopsis acutifrons
4.5208,-0.079747,Apseudopsis mediterraneus
7.7701,0.24724,Apseudopsis olimpiae
5.1159,0.064907,Apseudopsis tuski
6.5183,0.49135,Arachnomysis leuckartii
9.8422,0.41098,Arachnopsis filipes
5.2983,0.54275,Araphura breviaria
5.4278,0.13978,Araphura brevimanus
4.2925,0.38598,Araphura filiformis
5.0929,0.069653,Araphura yarra
14.997,0.60385,Arcania cornuta
7.6982,0.21766,Arcania elongata
8.9713,0.27463,Arcania gracilis
8.6733,0.27036,Arcania heptacantha
12.699,0.46333,Arcania novemspinosa
8.0492,0.10753,Arcania septemspinosa
8.8918,0.27928,Arcania tuberculata
NaN,NaN,Archaeomysis grebnitzkii
4.1303,0.89768,Archaeoscina steenstrupi
5.9681,-0.095009,Archasterope efficax
1.1964,1.9731,Archasterope pentathrix
4.7704,-0.032002,Archescolecithrix auropecten
1.7796,1.8067,Archiconchoecemma simula
4.8523,1.0391,Archiconchoecetta bifurcata
2.19,1.9426,Archiconchoecetta bimucronata
10.028,1.5304,Archiconchoecetta bispicula
4.1447,1.2557,Archiconchoecetta gastrodes
182.31,-1.0157,Archiconchoecetta ventricosa
6.781,0.35584,Archiconchoecia cuneata
4.6146,1.72,Archiconchoecia ventricosa
3.6707,1.349,Archiconchoecilla versicula
7.4539,0.60109,Archiconchoecinna cuneata
3.9409,1.0634,Archiconchoecissa cucullata
1.0342,1.8375,Archiconchoecissa pljusnini
9.0824,0.51437,Arcoscalpellum epeeum
2.4276,1.7598,Arcoscalpellum michelottianum
5.8297,0.24145,Arcoscalpellum pertosum
5.5379,1.9949,Arcoscalpellum portoricanum
5.1026,0.0070126,Arcotheres sinensis
5.192,0.042938,Arctides antipodarum
2.2597,0.66689,Arcturides cornutus
5.8339,-0.13398,Arcturina hexagonalis
6.0169,0.14131,Arcturina scutula
1,1.3241,Arcturus baffini
7.0229,0.14123,Arenaeus cribrarius
5.2874,0.041828,Arenallianassa arenosa
5.7943,-0.020338,Arenocaris bifida
6.1555,0.39071,Arenosetella germanica
5.0694,0.073231,Arenosetella tenuissima
2.8948,-1.245,Areopaguristes hummi
16.798,0.68092,Areopaguristes oxyophthalmus
5.4814,0.12997,Areopaguristes pilosus
5.4553,0.10266,Areopaguristes setosus
5.3343,0.033697,Areopaguristes tuberculatus
4.1632,-0.12384,Arete dorsalis
6.5157,0.11475,Arete indicus
7.8796,0.21696,Aretopsis amabilis
7.4577,0.20665,Argathona macronema
5.2014,0.72794,Argeia pugettensis
1.4363,1.9983,Argilloecia antarctica
2.036,1.9907,Argis dentata
9.2639,-0.057748,Argis lar
6.363,0.12798,Argissa hamatipes
1.583,-0.88459,Arietellus giesbrechti
8.8848,0.30484,Arietellus plumifer
8.072,0.43573,Arietellus setosus
1.0555,1.021,Arietellus simplex
8.7427,0.30055,Aristaeomorpha foliacea
39.129,0.98109,Aristaeopsis edwardsiana
6.2976,0.17916,Aristeus antennatus
10.584,0.27092,Aristeus antillensis
47.073,1.8142,Aristeus varidens
12.368,1.2373,Aristeus virilis
1.0102,1.4098,Aristias antarcticus
8.8343,0.4061,Aristias captiva
5.2921,0.11787,Aristias neglectus
1.039,1.9782,Aristias tumidus
7.524,-0.063044,Arrhis luthkei
4.0334,0.76003,Arrhis phyllonyx
5.4859,0.076694,Artemesia longinaris
1.3743,1.8467,Arthrura monacantha
5.2934,-0.019187,Artotrogus orbicularis
5.7092,0.057287,Aruga holmesi
5.459,0.34314,Aruga oculata
5.0486,0.029375,Ascidicola rosea
5.4639,0.10232,Ascidonia flavomaculata
5.4515,-0.016038,Ascidonia miserabilis
4.9486,0.0030213,Ascorhynchus abyssi
1.4375,0.82849,Ascorhynchus armatus
14.653,0.59599,Ascorhynchus castellioides
4.8161,0.30555,Ascorhynchus cooki
6.1261,-2,Ascorhynchus japonicus
5.743,-0.16101,Ascorhynchus longicollis
8.1555,0.25493,Ascorhynchus orthorhynchus
7.0001,0.20597,Ascorhynchus pyrginospinus
4.099,0.43284,Ascorhynchus turritus
5.2966,0.2587,Asellopsis hispida
5.6853,0.78174,Asellopsis intermedia
4.9769,-0.026575,Ashtoret lunaris
5.7966,-0.41291,Astacilla bispinata
5.3901,0.14043,Astacilla brevipes
6.7624,0.22006,Astacilla corniger
1.091,-1.9124,Astacilla cymodocea
5.201,0.19639,Astacilla damnoniensis
1.1749,1.9769,Astacilla granulata
3.5065,0.99795,Astacilla intermedia
23.23,0.81136,Astacilla lewtonae
