scientific_name,f,f_mort,percent_diff,abs_diff,f_max,f_fmsy,family,threat,sp_count_threat,total_sp_count,sp_threat_pct,mean_mort_reduction,sd_mort_reduction,se_mort_reduction,mean_abs_mort_reduction,sd_abs_mort_reduction,se_abs_mort_reduction,mean_f_fmsy,sd_f_fmsy,se_f_fmsy,sp_threat,status,sp_count
Sphyrna mokarran,0.07575000000000001,0.04211791756599695,44.39878869175321,0.03363208243400306,0.1362380390960381,1.798521968264529,Sphyrnidae,threatened,8,9,0.8888888888888888,51.1768758016052,5.920220406403124,2.0931139977433135,0.09705772429173723,0.06732767569256733,0.023803928021871517,2.075688079163425,0.2598789615846809,0.09188108801212307,>0.75,Corrected,NA
Sphyrna tiburo,0.34517967778208647,0.16029210091364804,53.562706256756755,0.18488757686843843,0.7433242765838632,2.1534415970256724,Sphyrnidae,threatened,8,9,0.8888888888888888,51.1768758016052,5.920220406403124,2.0931139977433135,0.09705772429173723,0.06732767569256733,0.023803928021871517,2.075688079163425,0.2598789615846809,0.09188108801212307,>0.75,Corrected,NA
Sphyrna zygaena,0.085903428,0.04481353710038519,47.83265564165241,0.04108989089961482,0.16466896878996318,1.9169080049979283,Sphyrnidae,threatened,8,9,0.8888888888888888,51.1768758016052,5.920220406403124,2.0931139977433135,0.09705772429173723,0.06732767569256733,0.023803928021871517,2.075688079163425,0.2598789615846809,0.09188108801212307,>0.75,Corrected,NA
Squalus acanthias,0.02762921109360464,0.009821079375332714,64.45399999999997,0.017808131718271926,0.07772804561302148,2.813256062566812,Squalidae,threatened,9,32,0.28125,53.31800000000001,8.625908508673122,3.5215124023634927,0.01573443384452598,0.0016089905815488354,6.568676542897688e-4,2.2136690862463544,0.4644380747783986,0.189606050054609,<0.50,Corrected,NA
Squalus cubensis,0.03099888968323243,0.0161969198594889,47.75000000000014,0.01480196982374353,0.05932801853250241,1.9138755980861293,Squalidae,threatened,9,32,0.28125,53.31800000000001,8.625908508673122,3.5215124023634927,0.01573443384452598,0.0016089905815488354,6.568676542897688e-4,2.2136690862463544,0.4644380747783986,0.189606050054609,<0.50,Corrected,NA
Squalus megalops,0.030561675375,0.01596847538343752,47.74999999999993,0.014593199991562479,0.05849124473684204,1.9138755980861222,Squalidae,threatened,9,32,0.28125,53.31800000000001,8.625908508673122,3.5215124023634927,0.01573443384452598,0.0016089905815488354,6.568676542897688e-4,2.2136690862463544,0.4644380747783986,0.189606050054609,<0.50,Corrected,NA
Squatina africana,0.05915434989261398,0.021497678904801205,63.658329533116195,0.03765667098781277,0.1627727870861581,2.7516621749989336,Squatinidae,threatened,13,23,0.5652173913043478,60.586273855410745,4.75920819135005,1.9429386080802715,0.03642062920812036,0.001068277413928881,4.361224279776223e-4,2.566112116618029,0.2874529143988226,0.11735216089217448,<0.75,Corrected,NA
Squatina australis,0.06673576301903358,0.030403370470596512,54.44216249999986,0.03633239254843707,0.14648580064633968,2.19501199985622,Squatinidae,threatened,13,23,0.5652173913043478,60.586273855410745,4.75920819135005,1.9429386080802715,0.03642062920812036,0.001068277413928881,4.361224279776223e-4,2.566112116618029,0.2874529143988226,0.11735216089217448,<0.75,Corrected,NA
Squatina tergocellatoides,0.05540959737211086,0.020136773283999643,63.65832953311619,0.03527282408811122,0.15246849322075773,2.7516621749989327,Squatinidae,threatened,13,23,0.5652173913043478,60.586273855410745,4.75920819135005,1.9429386080802715,0.03642062920812036,0.001068277413928881,4.361224279776223e-4,2.566112116618029,0.2874529143988226,0.11735216089217448,<0.75,Corrected,NA
Alopias pelagicus,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,0.13369433623431878,2.16120335298182,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75,Uncorrected,3
Alopias superciliosus,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,0.10503322351366257,2.1612033529818215,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75,Uncorrected,3
Alopias vulpinus,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,0.14240998390231743,2.300362578960466,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75,Uncorrected,3
Carcharhinus acronotus,0.1494957176608832,0.09285461834067092,37.8881082391251,0.05664109932021229,0.240687754667702,1.609997653669781,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus albimarginatus,0.06151584463607947,0.022721479704756575,63.064020596361495,0.03879436493132289,0.16654721393422597,2.707387258022706,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus altimus,0.0504803371039731,0.022259396483947713,55.90481807183541,0.02822094062002539,0.11448039195350311,2.267821463190919,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus amblyrhynchos,0.05599985774999999,0.02717713259812399,51.46928279809069,0.028822725151876002,0.11539054227658689,2.0605506319627556,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus amboinensis,0.0811285324105828,0.04716129199328435,41.868427060154225,0.03396724041729844,0.1395601878767914,1.72023557840899,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus brachyurus,0.06715183425,0.03674908156657679,45.274642194041355,0.030402752683423212,0.12270698071651225,1.8273064628389097,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus brevipinna,0.11914994948388569,0.0776973461518034,34.79028191924537,0.04145260333208228,0.18271808710525692,1.5335137605741782,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus cautus,0.062543269125,0.03635738611036345,41.86842706015416,0.026185883014636542,0.1075891567388334,1.7202355784089887,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
Carcharhinus falciformis,0.07234761975,0.03145052889127314,56.5285920947342,0.04089709085872686,0.16642575714976174,2.3003625789604745,Carcharhinidae,threatened,35,52,0.6730769230769231,51.73028925756506,10.046662810401973,1.3425417898916996,0.05419433894957544,0.039528387744123886,0.005282202999645202,2.180678858087433,0.5714220193654774,0.07635947927586145,<0.75,Uncorrected,56
