family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Sphyrnidae,,,,,Thorpe & Frierson 2009,Sharks,149,0.715,Sphyrna tiburo,gillnet,150,45,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,4.199,pelagic
Hexanchidae,,,,,Braccini et al 2012,Sharks,202,0.332,Notorynchus cepedianus,gillnet,296,285,lecithotrophic viviparity,ram,at-vessel mortality,,Notorynchus,8.1187,demersal
Squalidae,,,,,Braccini et al 2012,Sharks,52,0.135,Squalus acanthias,gillnet,200,989,lecithotrophic viviparity,stationary,at-vessel mortality,,Squalus,8.2153,pelagic
Squalidae,,,,,Braccini et al 2012,Sharks,1178,0.103,Squalus megalops,gillnet,89,366,lecithotrophic viviparity,stationary,at-vessel mortality,,Squalus,7.0687,demersal
Pristiophoridae,,,,,Braccini et al 2012,Sharks,113,0.416,Pristiophorus nudipinnis,gillnet,124,82.5,lecithotrophic viviparity,stationary,at-vessel mortality,,Pristiophorus,6.0799,demersal
Pristiophoridae,,,,,Braccini et al 2012,Sharks,562,0.247,Pristiophorus cirratus,gillnet,149,335,lecithotrophic viviparity,stationary,at-vessel mortality,,Pristiophorus,5.7533,demersal
Squatinidae,,,,,Braccini et al 2012,Sharks,56,0.25,Squatina australis,gillnet,152,65,lecithotrophic viviparity,stationary,at-vessel mortality,,Squatina,8.0911,demersal
Heterodontidae,,,,,Braccini et al 2012,Sharks,1452,0.08,Heterodontus portusjacksoni,gillnet,165,87.5,lecithotrophic oviparity,stationary,at-vessel mortality,,Heterodontus,10.685,demersal
Scyliorhinidae,,,,,Braccini et al 2012,Sharks,1977,0.05,Cephaloscyllium laticeps,gillnet,150,30,lecithotrophic oviparity,stationary,at-vessel mortality,,Cephaloscyllium,6.1457,demersal
Triakidae,,,,,Braccini et al 2012,Sharks,223,0.928,Furgaleus macki,gillnet,160,113.5,lecithotrophic viviparity,ram,at-vessel mortality,,Furgaleus,9.73337361111111,demersal
Triakidae,,,,,Braccini et al 2012,Sharks,1361,0.727,Galeorhinus galeus,gillnet,199,400,lecithotrophic viviparity,ram,at-vessel mortality,,Galeorhinus,11.901,pelagic
Triakidae,,,,,Braccini et al 2012,Sharks,3726,0.569,Mustelus antarcticus,gillnet,185.2,175.5,lecithotrophic viviparity,ram,at-vessel mortality,,Mustelus,16.442,demersal
Carcharhinidae,,,,,Braccini et al 2012,Sharks,152,0.362,Carcharhinus brachyurus,gillnet,322,73,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.2708,pelagic
Sphyrnidae,,,,,Braccini et al 2012,Sharks,122,0.893,Sphyrna zygaena,gillnet,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Myliobatidae,,,,,Braccini et al 2012,Batoids,133,0.53,Myliobatis tenuicaudatus,gillnet,160,211,matrotrophic viviparity,stationary,at-vessel mortality,,Myliobatis,6.218,pelagic
Lamnidae,,,,,Lyons et al 2013,Sharks,28,0.071,Carcharodon carcharias,gillnet,594.4,600,matrotrophic viviparity,ram,post-release mortality,,Carcharodon,7.7326,pelagic
Lamnidae,,,,,Lyons et al 2013,Sharks,87,0.44,Carcharodon carcharias,gillnet,594.4,600,matrotrophic viviparity,ram,at-vessel mortality,,Carcharodon,7.7326,pelagic
Lamnidae,,,,,Francis et al 2001,Sharks,299,0.284,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,,,,,Francis et al 2001,Sharks,2370,0.392,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,,,,,Francis et al 2001,Sharks,7838,0.135,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,,,,,Beerkircher et al 2004,Sharks,82,0.537,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Lamnidae,,,,,Beerkircher et al 2004,Sharks,80,0.35,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,1446,0.663,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,131,0.275,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,679,0.487,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,112,0.268,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,572,0.808,Carcharhinus signatus,longline,280,300,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.667,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,263,0.03,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,,,,,Beerkircher et al 2004,Sharks,434,0.122,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Sphyrnidae,,,,,Beerkircher et al 2004,Sharks,199,0.61,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Carcharhinidae,,,,,Morgan & Burgess 2007,Sharks,1982,0.88,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,,,,,Morgan & Burgess 2007,Sharks,662,0.81,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,,,,,Morgan & Burgess 2007,Sharks,8583,0.36,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,,,,,Morgan & Burgess 2007,Sharks,2466,0.085,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Sphyrnidae,,,,,Morgan & Burgess 2007,Sharks,455,0.914,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Sphyrnidae,,,,,Morgan & Burgess 2007,Sharks,178,0.938,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Carcharhinidae,,,,,Morgan & Carlson 2010,Sharks,65,0.77,Carcharhinus acronotus,longline,164,51.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,8.3419,pelagic
Carcharhinidae,,,,,Morgan & Carlson 2010,Sharks,165,0.85,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,,,,,Morgan & Carlson 2010,Sharks,353,0.21,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,,,,,Morgan & Carlson 2010,Sharks,118,0.91,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Lamnidae,,,,,Scott-Denton et al 2011,Sharks,33,0.242,Heptranchias perlo,longline,140,500,matrotrophic viviparity,ram,at-vessel mortality,,Heptranchias,11.532,demersal
Squalidae,,,,,Scott-Denton et al 2011,Sharks,49,0.102,Squalus cubensis,longline,110,370.5,lecithotrophic viviparity,stationary,at-vessel mortality,,Squalus,7.737926666666667,demersal
Squalidae,,,,,Scott-Denton et al 2011,Sharks,2,0,Squalus sp,longline,,,lecithotrophic viviparity,stationary,at-vessel mortality,,Squalus,7.737926666666667,
Centrophoridae,,,,,Scott-Denton et al 2011,Sharks,35,0,Centrophorus granulosus,longline,176,775,lecithotrophic viviparity,stationary,at-vessel mortality,,Centrophorus,9.3579,demersal
Ginglymostomatidae,,,,,Scott-Denton et al 2011,Sharks,163,0.613,Ginglymostoma cirratum,longline,308,65,lecithotrophic viviparity,stationary,at-vessel mortality,,Ginglymostoma,3.1785,pelagic
Triakidae,,,,,Scott-Denton et al 2011,Sharks,1279,0.008,Mustelus canis,longline,155,404,lecithotrophic viviparity,ram,at-vessel mortality,,Mustelus,8.0434,demersal
Triakidae,,,,,Scott-Denton et al 2011,Sharks,72,0,Mustelus sp,longline,,,lecithotrophic viviparity,ram,at-vessel mortality,,Mustelus,9.899840384615384,
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,801,0.08,Carcharhinus acronotus,longline,164,51.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,8.3419,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,26,0.038,Carcharhinus brevipinna,longline,304,100,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.685,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,94,0.266,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,43,0.023,Carcharhinus leucas,longline,366,82.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.6321,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,87,0.23,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,59,0.034,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,48,0,Carcharhinus porosus,longline,150,42,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,3.888,demersal
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,102,0.09,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,157,0.019,Negaprion brevirostris,longline,368,60,matrotrophic viviparity,ram,at-vessel mortality,,Negaprion,7.4039,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,2090,0.191,Rhizoprionodon terraenovae,longline,113,140,matrotrophic viviparity,ram,at-vessel mortality,,Rhizoprionodon,6.7403,demersal
Sphyrnidae,,,,,Scott-Denton et al 2011,Sharks,73,0.193,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Rajidae,,,,,Scott-Denton et al 2011,Batoids,50,0.04,Rostroraja eglanteria,longline,84,164.5,lecithotrophic oviparity,stationary,at-vessel mortality,,Rostroraja,6.523536,demersal
Ginglymostomatidae,,,,,Scott-Denton et al 2011,Sharks,33,0.061,Ginglymostoma cirratum,handline,308,65,lecithotrophic viviparity,stationary,post-release mortality,,Ginglymostoma,3.1785,pelagic
Triakidae,,,,,Scott-Denton et al 2011,Sharks,35,0.125,Mustelus canis,handline,155,404,lecithotrophic viviparity,ram,post-release mortality,,Mustelus,8.0434,demersal
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,32,0.031,Carcharhinus acronotus,handline,164,51.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,8.3419,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,71,0.014,Carcharhinus falciformis,handline,350,250,matrotrophic viviparity,ram,post-release mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,39,0.158,Carcharhinus limbatus,handline,286,70,matrotrophic viviparity,ram,post-release mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,,,,,Scott-Denton et al 2011,Sharks,83,0.076,Rhizoprionodon terraenovae,handline,113,140,matrotrophic viviparity,ram,post-release mortality,,Rhizoprionodon,6.7403,demersal
Pseudocarchariidae,,,,,Bromhead et al 2012,Sharks,139,0.387,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,,,,,Bromhead et al 2012,Sharks,1353,0.638,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Alopiidae,,,,,Bromhead et al 2012,Sharks,1636,0.5,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,,,,,Bromhead et al 2012,Sharks,87,0.529,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Lamnidae,,,,,Bromhead et al 2012,Sharks,171,0.503,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,20,0.15,Carcharhinus albimarginatus,longline,300,400,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,3.5185,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,19,0.056,Carcharhinus brachyurus,longline,322,73,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.2708,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,3242,0.265,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,917,0.306,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,3452,0.196,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Dasyatidae,,,,,Bromhead et al 2012,Batoids,501,0.185,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,4,0.5,Carcharhinus amblyrhynchos,longline,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,8,0.25,Carcharhinus galapagensis,longline,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,10,0.6,Carcharhinus limbatus,longline,286,70,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.7253,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,1,0,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Sphyrnidae,,,,,Bromhead et al 2012,Sharks,5,0.75,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Sphyrnidae,,,,,Bromhead et al 2012,Sharks,3,0.75,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Carcharhinidae,,,,,Bromhead et al 2012,Sharks,5,0.6,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,,,,,Moyes et al. 2006,Sharks,33,0.95,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,post-release survival,,Prionace,8.6017,pelagic
Carcharhinidae,,,,,Moyes et al. 2006,Sharks,11,1,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,post-release survival,,Prionace,8.6017,pelagic
Carcharhinidae,,,,,Weng et al. 2005,Sharks,17,0.12,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,post-release mortality,,Prionace,8.6017,pelagic
Carcharhinidae,,,,,Dapp et al. 2017,Sharks,37,0.38,Carcharhinus melanopterus,gillnet,180,50,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.9127,pelagic
Carcharhinidae,,,,,Dapp et al. 2017,Sharks,12,0.66,Carcharhinus cautus,gillnet,150,10,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.93988444846293,pelagic
Carcharhinidae,,,,,Dapp et al. 2017,Sharks,5,0.8,Carcharhinus brevipinna,gillnet,304,100,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.685,pelagic
Carcharhinidae,,,,,Dapp et al. 2017,Sharks,4,0,Negaprion acutidens,gillnet,310,45,matrotrophic viviparity,ram,at-vessel mortality,,Negaprion,4.7028,pelagic
Rhinidae,,,,,Dapp et al. 2017,Batoids,4,0,Rhynchobatus australiae,gillnet,300,30,lecithotrophic viviparity,stationary,at-vessel mortality,,Rhynchobatus,113.03,demersal
Lamnidae,,,,,Hight et al. 2007,Sharks,149,0.26,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,post-release mortality,,Isurus,13.922,pelagic
Alopiidae,,,,,Hight et al. 2007,Sharks,43,0.047,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,post-release mortality,,Alopias,8.7014,pelagic
Carcharhinidae,,,,,Hight et al. 2009,Sharks,79,0.24,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,post-release mortality,,Prionace,8.6017,pelagic
Triakidae,,,,,Frick et al. 2010a,Sharks,30,0.38,Mustelus antarcticus,gillnet,185.2,175.5,lecithotrophic viviparity,ram,post-release mortality,,Mustelus,16.442,demersal
Triakidae,,,,,Frick et al. 2010a,Sharks,24,0.08,Mustelus antarcticus,longline,185.2,175.5,lecithotrophic viviparity,ram,post-release mortality,,Mustelus,16.442,demersal
Triakidae,,,,,Frick et al. 2010a,Sharks,41,0.26,Mustelus antarcticus,trawl,185.2,175.5,lecithotrophic viviparity,ram,post-release mortality,,Mustelus,16.442,demersal
Triakidae,,,,,Frick et al. 2010a,Sharks,24,0.07,Mustelus antarcticus,trawl,185.2,175.5,lecithotrophic viviparity,ram,at-vessel mortality,,Mustelus,16.442,demersal
Triakidae,,,,,Frick et al. 2010a,Sharks,93,0.03,Mustelus antarcticus,longline,185.2,175.5,lecithotrophic viviparity,ram,post-release mortality,,Mustelus,16.442,demersal
Pseudocarchariidae,,,,,Coelho et al 2012,Sharks,1621,0.133,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,,,,,Coelho et al 2012,Sharks,1061,0.561,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,,,,,Coelho et al 2012,Sharks,3,0.667,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Lamnidae,,,,,Coelho et al 2012,Sharks,1414,0.356,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,,,,,Coelho et al 2012,Sharks,168,0.307,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Lamnidae,,,,,Coelho et al 2012,Sharks,10,0.3,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Triakidae,,,,,Coelho et al 2012,Sharks,25,0,Galeorhinus galeus,longline,199,400,lecithotrophic viviparity,ram,at-vessel mortality,,Galeorhinus,11.901,pelagic
Carcharhinidae,,,,,Coelho et al 2012,Sharks,11,0.6,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,,,,,Coelho et al 2012,Sharks,310,0.558,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Coelho et al 2012,Sharks,281,0.342,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,,,,,Coelho et al 2012,Sharks,36,0.029,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,,,,,Coelho et al 2012,Sharks,30168,0.143,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Sphyrnidae,,,,,Coelho et al 2012,Sharks,21,0.571,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Sphyrnidae,,,,,Coelho et al 2012,Sharks,3,0,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,,,,,Coelho et al 2012,Sharks,372,0.71,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Dasyatidae,,,,,Coelho et al 2012,Batoids,396,0.01,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,,,,,Epperly et al 2012,Sharks,543,0.265,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,,,,,Epperly et al 2012,Sharks,866,0.361,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,,,,,Epperly et al 2012,Sharks,21684,0.226,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,,,,,Epperly et al 2012,Sharks,543,0.213,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,,,,,Epperly et al 2012,Sharks,866,0.295,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,,,,,Epperly et al 2012,Sharks,21684,0.188,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Triakidae,,,,,Fernandez-Carvalho et al 2015,Sharks,190,0.0474,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,,,,,Fernandez-Carvalho et al 2015,Sharks,295,0.498,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,,,,,Fernandez-Carvalho et al 2015,Sharks,44,0.227,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Sphyrnidae,,,,,Fernandez-Carvalho et al 2015,Sharks,79,0.6203,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Triakidae,,,,,Fernandez-Carvalho et al 2015,Sharks,211,0.08,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,,,,,Fernandez-Carvalho et al 2015,Sharks,272,0.584,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,,,,,Fernandez-Carvalho et al 2015,Sharks,27,0.11,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Sphyrnidae,,,,,Fernandez-Carvalho et al 2015,Sharks,79,0.628,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Triakidae,,,,,Fernandez-Carvalho et al 2015,Sharks,263,0.0913,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Alopiidae,,,,,Fernandez-Carvalho et al 2015,Sharks,248,0.496,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,,,,,Fernandez-Carvalho et al 2015,Sharks,81,0.284,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Sphyrnidae,,,,,Fernandez-Carvalho et al 2015,Sharks,54,0.629,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Alopiidae,,,,,Gallagher et al 2014,Sharks,367,0.517,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Lamnidae,,,,,Gallagher et al 2014,Sharks,2126,0.286,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,,,,,Gallagher et al 2014,Sharks,139,0.511,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Lamnidae,,,,,Gallagher et al 2014,Sharks,255,0.214,Lamna nasus,longline,365,904.5,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,1090,0.422,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,213,0.257,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,274,0.279,Carcharhinus obscurus,longline,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,189,0.267,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,1141,0.67,Carcharhinus signatus,longline,280,300,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.667,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,1348,0.032,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Carcharhinidae,,,,,Gallagher et al 2014,Sharks,17780,0.151,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Sphyrnidae,,,,,Gallagher et al 2014,Sharks,727,0.541,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Hexanchidae,,,,,Brooks et al 2015,Sharks,8,0,Hexanchus griseus,longline,550,1245,matrotrophic viviparity,ram,at-vessel mortality,,Hexanchus,7.4946,demersal
