family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,habitat_associated,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,superorder,order,parity_mode,trophic_mode,vertebrate_reproductive_category,reference
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,26,0.2307692307692308,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dalatiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.3333333333333333,Isistius brasiliensis,longline,bathypelagic,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,Squalimorphs,Squaliformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Pseudocarchariidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,1003,0.24626121635094717,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Carcharhinus obscurus,longline,reef-associated,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,37,0.16216216216216217,Carcharhinus galapagensis,longline,reef-associated,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Mobulidae,j,wire,Hawaii,USA,Gilman et al (2022),Batoids,5,0.2,Mobula birostris,longline,reef-associated,700,500,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.353,,,,,,
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,9,0.1111111111111111,Carcharhinus amblyrhynchos,longline,reef-associated,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,121,0.24793388429752067,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,2151,0.2110646211064621,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,wire,Hawaii,USA,Gilman et al (2022),Batoids,6405,0.34004683840749417,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,381,0.3910761154855643,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,7,0.2857142857142857,Lamna ditropis,longline,pelagic-oceanic,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,70,0.11428571428571428,Carcharhinus plumbeus,longline,benthopelagic,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,28,0.4642857142857143,Sphyrna lewini,longline,pelagic-oceanic,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,1779,0.1371557054525014,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,1793,0.25264919129949803,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,19,0.2631578947368421,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,30,0.1,Galeocerdo cuvier,longline,benthopelagic,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,,,,,,
Somniosidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,298,0.31543624161073824,Scymnodon ichiharai,longline,bathypelagic,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,,,,,,
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,145,0.3310344827586207,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1829,0.04373974849644614,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,33,0.15151515151515152,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,5,0,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,96,0.15625,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,mono,Hawaii,USA,Gilman et al (2022),Batoids,172,0.4011627906976744,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,19,0.21052631578947367,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,17,0.1176470588235294,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,30,0.1,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Somniosidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Scymnodon ichiharai,longline,bathypelagic,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,,,,,,
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,11,0.09090909090909093,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,581,0.03614457831325301,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dalatiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Isistius brasiliensis,longline,bathypelagic,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,Squalimorphs,Squaliformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Pseudocarchariidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,5,0.4,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,50,0.18,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,other,Hawaii,USA,Gilman et al (2022),Batoids,68,0.3235294117647059,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,2,1,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,14,0.21428571428571427,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,27,0.2962962962962963,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Somniosidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Scymnodon ichiharai,longline,bathypelagic,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,,,,,,
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,2063,0.22103732428502185,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0.6666666666666666,Carcharhinus altimus,longline,reef-associated,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,29885,0.07318052534716413,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dalatiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0.3333333333333333,Isistius brasiliensis,longline,bathypelagic,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,Squalimorphs,Squaliformes,Viviparity,Lecithotrophic,Lecithotrophic Viviparity,S4
Pseudocarchariidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,706,0.3696883852691218,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,40,0.25,Carcharhinus obscurus,longline,reef-associated,420,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0963,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,6,0.16666666666666666,Carcharhinus galapagensis,longline,reef-associated,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,18,0.1111111111111111,Carcharhinus amblyrhynchos,longline,reef-associated,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,61,0.39344262295081966,Isurus paucus,longline,pelagic-oceanic,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,1251,0.2973621103117506,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,wire,Hawaii,USA,Gilman et al (2022),Batoids,2386,0.3948030176026823,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,244,0.4180327868852459,Alopias pelagicus,longline,pelagic-oceanic,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,16,0.625,Lamna ditropis,longline,pelagic-oceanic,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,13,0.07692307692307693,Carcharhinus plumbeus,longline,benthopelagic,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,14,0.42857142857142855,Sphyrna lewini,longline,pelagic-oceanic,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,441,0.16326530612244897,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,955,0.38952879581151834,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,10,0.2,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.25,Galeocerdo cuvier,longline,benthopelagic,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,,,,,,
Somniosidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,64,0.34375,Scymnodon ichiharai,longline,bathypelagic,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,,,,,,
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,8,0,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,506,0.06521739130434782,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,20,0.15,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,mono,Hawaii,USA,Gilman et al (2022),Batoids,11,0.09090909090909093,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,6,0.5,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,44,0,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,4,0,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,23,0.04347826086956521,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,30,0.1,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,other,mono,Hawaii,USA,Gilman et al (2022),Batoids,4,0.25,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Lamnidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,4,0.5,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,147,0.09523809523809525,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,other,other,Hawaii,USA,Gilman et al (2022),Batoids,28,0.6071428571428571,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Lamnidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Lamna ditropis,longline,pelagic-oceanic,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Somniosidae,other,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Scymnodon ichiharai,longline,bathypelagic,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,,,,,,
Alopiidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.16666666666666666,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,166,0.01204819277108433,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Pseudocarchariidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Pseudocarcharias kamoharai,longline,pelagic-oceanic,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,7,0.14285714285714285,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,other,wire,Hawaii,USA,Gilman et al (2022),Batoids,18,0.5,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Lamnidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,other,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,other,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
