scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Malacoraja senta,Smooth skate,Rajidae,Rajiformes,stationary,71,total_length,743,oviparous,bathydemersal,
Mobula birostris,Giant manta ray,Mobulidae,Myliobatiformes,ram,700,disk_width,500,histotrophy,pelagic,
Mobula mobular,Spinetail devil ray,Mobulidae,Myliobatiformes,ram,350,disk_width,350,histotrophy,pelagic,DW size rescaled to 350 cm according to Notarbartolo di Sciara et al (2020)
Mustelus,Smoothhounds,Triakidae,Carcharhiniformes,ram,,total_length,,yolk-sac viviparity,demersal,
Mustelus asterias,Starry smooth-hound,Triakidae,Carcharhiniformes,ram,140,total_length,99.5,yolk-sac viviparity,demersal,
Mustelus henlei,Brown smooth-hound,Triakidae,Carcharhiniformes,ram,100,total_length,140.5,yolk-sac viviparity,demersal,
Mustelus lenticulatus,Spotted estuary smooth-hound,Triakidae,Carcharhiniformes,ram,151,total_length,110.5,yolk-sac viviparity,demersal,
Mustelus lunulatus,Sicklefin smooth-hound,Triakidae,Carcharhiniformes,ram,175,total_length,104.5,yolk-sac viviparity,demersal,
Mustelus mento,Speckled smooth-hound,Triakidae,Carcharhiniformes,ram,130,total_length,33,yolk-sac viviparity,demersal,
Mustelus mustelus,Smooth-hound,Triakidae,Carcharhiniformes,ram,174.5,total_length,400,yolk-sac viviparity,demersal,
Mustelus schmitti,Narrownose smooth-hound,Triakidae,Carcharhiniformes,ram,108.5,total_length,98.5,yolk-sac viviparity,demersal,
Mustelus whitneyi,Humpback smooth-hound,Triakidae,Carcharhiniformes,ram,87,total_length,113.5,yolk-sac viviparity,demersal,
Myliobatidae,,,,,,,,,,
Myliobatis aquila,Common eagle ray,Myliobatidae,Myliobatiformes,stationary,150,disk_width,30,histotrophy,benthopelagic,
Myliobatis californica,Bat ray,Myliobatidae,Myliobatiformes,stationary,180,disk_width,54,histotrophy,demersal,
Nasolamia velox,Whitenose shark,Carcharhinidae,Carcharhiniformes,ram,165,total_length,96,placental viviparity,demersal,
Nebrius ferrugineus,Tawny nurse shark,Ginglymostomatidae,Orectolobiformes,ram,320,total_length,35,yolk-sac viviparity,reef-associated,
Negaprion brevirostris,Lemon shark,Carcharhinidae,Carcharhiniformes,ram,368,total_length,60,placental viviparity,reef-associated,
Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae,Hexanchiformes,ram,296,total_length,285,yolk-sac viviparity,demersal,
Odontaspis ferox,Smalltooth sand tiger,Odontaspididae,Lamniformes,ram,450,total_length,512.5,oophagy,benthopelagic,
Oxynotus centrina,Angular roughshark,Oxynotidae,Squaliformes,stationary,150,total_length,420,yolk-sac viviparity,bathydemersal,
Oxynotus paradoxus,Sailfin roughshark,Oxynotidae,Squaliformes,stationary,118,total_length,492.5,yolk-sac viviparity,bathydemersal,
Pastinachus sephen,Cowtail stingray,Dasyatidae,Myliobatiformes,stationary,149,total_length,30,histotrophy,reef-associated,
Prionace glauca,Blue shark,Carcharhinidae,Carcharhiniformes,ram,383.5,total_length,500,placental viviparity,pelagic,
Pristidae,Sawfishes,Pristidae,Rhinopristiformes,stationary,,total_length,,placental viviparity,benthocoastal,
Pristiophorus,Sawsharks,Pristiophoridae,Pristiophoriformes,ram,,total_length,,,demersal,
Pristiophorus cirratus,Common sawshark,Pristiophoridae,Pristiophoriformes,,149,total_length,335,yolk-sac viviparity,demersal,
Pseudobatos planiceps,Pacific guitarfish,Rhinobatidae,Rhinopristiformes,stationary,98,total_length,25,yolk-sac viviparity,demersal,
Pteroplatytrygon violacea,Pelagic stingray,Dasyatidae,Myliobatiformes,stationary,80,disk_width,190.5,histotrophy,pelagic,
Raja,,,,,,,,,,
Raja asterias,Mediterranean starry ray,Rajidae,Rajiformes,stationary,94,total_length,351,oviparous,demersal,
Raja brachyura,Blonde ray,Rajidae,Rajiformes,stationary,120,total_length,455,oviparous,demersal,
Raja clavata,Thornback ray,Rajidae,Rajiformes,stationary,130,total_length,513.5,oviparous,demersal,
Raja microocellata,Small-eyed ray,Rajidae,Rajiformes,stationary,103,total_length,56,oviparous,demersal,
Raja miraletus,Brown ray,Rajidae,Rajiformes,stationary,71.7,total_length,283,oviparous,demersal,
Raja montagui,Spotted ray,Rajidae,Rajiformes,stationary,80,total_length,329,oviparous,demersal,
Raja polystigma,Speckled ray,Rajidae,Rajiformes,stationary,71,total_length,321.5,oviparous,demersal,
Raja stellulata,Starry skate,Rajidae,Rajiformes,stationary,76.1,total_length,384,oviparous,demersal,
Raja undulata,Undulate ray,Rajidae,Rajiformes,stationary,114,total_length,102,oviparous,demersal,
Rajella,,,,,,,,,,
Rajella lintea,Sail skate,Rajidae,Rajiformes,stationary,125,total_length,825,oviparous,bathydemersal,
Rajidae,,,,,,,,,,
Rajiformes,,,,,,,,,,
Rhincodon typus,Whale shark,Rhincodontidae,Orectolobiformes,ram,1700,total_length,964,yolk-sac viviparity,pelagic,
Rhinobatidae,"Guitarfishes, fanrays",Rhinobatidae,Rhinopristiformes,stationary,,,,,,
Rhinobatos,Guitarfishes,Rhinobatidae,Rhinopristiformes,stationary,,,,,,
Pseudobatos percellens,Chola guitarfish,Rhinobatidae,Rhinopristiformes,stationary,102,total_length,70,yolk-sac viviparity,demersal,
Rhinobatos rhinobatos,Common guitarfish,Rhinobatidae,Rhinopristiformes,stationary,181,total_length,55,yolk-sac viviparity,benthocoastal,
Rhinoptera brasiliensis,Cownose ray,Rhinopteridae,Myliobatiformes,stationary,107,disk_width,30,yolk-sac viviparity,benthopelagic,
Rhinoptera steindachneri,Pacific cownose ray,Rhinopteridae,Myliobatiformes,stationary,107,disk_width,38.5,yolk-sac viviparity,benthopelagic,
Rhizoprionodon acutus,Milk shark,Carcharhinidae,Carcharhiniformes,ram,178,total_length,100.5,placental viviparity,coastal,
Rhizoprionodon longurio,Pacific sharpnose shark,Carcharhinidae,Carcharhiniformes,ram,154,total_length,13.5,placental viviparity,coastal,
Rhizoprionodon porosus,Caribbean sharpnose shark,Carcharhinidae,Carcharhiniformes,ram,110,total_length,250,placental viviparity,coastal,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Carcharhinidae,Carcharhiniformes,ram,113,total_length,140,placental viviparity,coastal,
Rhynchobatus australiae,Whitespotted wedgefish,Rhinidae,Rhinopristiformes,stationary,300,total_length,30,yolk-sac viviparity,benthocoastal,
Rhynchobatus djiddensis,Giant guitarfish,Rhinidae,Rhinopristiformes,stationary,310,total_length,38,yolk-sac viviparity,reef-associated,
Rioraja agassizii,Rio skate,Arhynchobatidae,Rajiformes,stationary,71,total_length,302.5,oviparous,demersal,
