scientific_name,common_name.x,family,lifestage,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,rfmo,location,habitat,estimate_type,estimate,sample_size,method,start_year,end_year,time_scale,ventilation_method,max_size_cm,measure,growth_rate_r,median_depth,geographic_range,reproductive_mode,median_temp,habitat_associated,reference,notes,reviewer,stock_code,spec_code,species_ref_no,fam_code,genus.x,species.x,f_bname.x,genus.y,species.y,f_bname.y,common_name.y
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.584,272,visual,2008,2011,sporadic,ram,484,total_length,,361.5,,oophagy,27,pelagic,Fernandez-Carvalho et al 2015,,LF,2730,2534,247,486,,,,Alopias,superciliosus,Bigeye thresher,bigeye thresher
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.11,27,visual,2008,2011,sporadic,ram,350,total_length,,541,,placental viviparity,28,pelagic,Fernandez-Carvalho et al 2015,,LF,891,875,244,11,Carcharhinus,longimanus,Oceanic whitetip shark,Carcharhinus,longimanus,Oceanic whitetip shark,oceanic whitetip shark
Sphyrna zygaena,smooth hammerhead shark,Sphyrnidae,,longline,circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.628,79,visual,2008,2011,sporadic,ram,400,total_length,,100,,placental viviparity,26,pelagic,Fernandez-Carvalho et al 2015,,LF,933,917,244,12,,,,Sphyrna,zygaena,Smooth hammerhead,smooth hammerhead
Pseudocarcharias kamoharai,crocodyle shark,Triakidae,,longline,offset circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.0913,263,visual,2008,2011,sporadic,ram,122,total_length,,295,,oophagy,,pelagic,Fernandez-Carvalho et al 2015,,LF,,,,,,,,Pseudocarcharias,kamoharai,Crocodile shark,crocodile shark
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,offset circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.496,248,visual,2008,2011,sporadic,ram,484,total_length,,361.5,,oophagy,27,pelagic,Fernandez-Carvalho et al 2015,,LF,2730,2534,247,486,,,,Alopias,superciliosus,Bigeye thresher,bigeye thresher
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,offset circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.284,81,visual,2008,2011,sporadic,ram,350,total_length,,541,,placental viviparity,28,pelagic,Fernandez-Carvalho et al 2015,,LF,891,875,244,11,Carcharhinus,longimanus,Oceanic whitetip shark,Carcharhinus,longimanus,Oceanic whitetip shark,oceanic whitetip shark
Sphyrna zygaena,smooth hammerhead shark,Sphyrnidae,,longline,offset circle hook,research,,,Portugal,Atlantic,NE,,Western Australia,pelagic,at-vessel mortality,0.629,54,visual,2008,2011,sporadic,ram,400,total_length,,100,,placental viviparity,26,pelagic,Fernandez-Carvalho et al 2015,,LF,933,917,244,12,,,,Sphyrna,zygaena,Smooth hammerhead,smooth hammerhead
Alopias superciliosus,bigeye thresher shark,Alopiidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.517,367,visual,1995,2012,sporadic,ram,484,total_length,,361.5,,oophagy,27,pelagic,Gallagher et al 2014,,LF,2730,2534,247,486,,,,Alopias,superciliosus,Bigeye thresher,bigeye thresher
Isurus oxyrinchus,shortfin mako shark,Lamnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.286,2126,visual,1995,2012,sporadic,ram,445,total_length,,375,,oophagy,26,pelagic,Gallagher et al 2014,,LF,768,752,247,9,,,,Isurus,oxyrinchus,Shortfin mako,shortfin mako
Isurus paucus,longfin majo shark,Lamnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.511,139,visual,1995,2012,sporadic,ram,427,total_length,,876,,oophagy,28,pelagic,Gallagher et al 2014,,LF,769,753,247,9,,,,Isurus,paucus,Longfin mako,longfin mako
Lamna nasus,porbeagle shark,Lamnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.214,255,visual,1995,2012,sporadic,ram,365,total_length,,904.5,,oophagy,7.5,pelagic,Gallagher et al 2014,,LF,103,88,247,9,,,,Lamna,nasus,Porbeagle,porbeagle
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.422,1090,visual,1995,2012,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Gallagher et al 2014,,LF,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus longimanus,oceanic whitetip shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.257,213,visual,1995,2012,sporadic,ram,350,total_length,,541,,placental viviparity,28,pelagic,Gallagher et al 2014,,LF,891,875,244,11,Carcharhinus,longimanus,Oceanic whitetip shark,Carcharhinus,longimanus,Oceanic whitetip shark,oceanic whitetip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.279,274,visual,1995,2012,sporadic,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Gallagher et al 2014,,LF,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.267,189,visual,1995,2012,sporadic,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Gallagher et al 2014,,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Carcharhinus signatus,night shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.67,1141,visual,1995,2012,sporadic,ram,280,total_length,,300,,placental viviparity,,benthopelagic,Gallagher et al 2014,,LF,,,,,Carcharhinus,signatus,Night shark,Carcharhinus,signatus,Night shark,night shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.032,1348,visual,1995,2012,sporadic,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Gallagher et al 2014,,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Prionace glauca,blue shark,Carcharhinidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.151,17780,visual,1995,2012,sporadic,ram,383.5,total_length,,500,,placental viviparity,25,pelagic,Gallagher et al 2014,,LF,914,898,244,11,Prionace,glauca,Blue shark,Prionace,glauca,Blue shark,blue shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,circle hook,multispecies,"Thunnus albacares, Thunnus obesus, Xiphias gladius","swordfish, tuna",USA,Atlantic,NW,,Western Atlantic,pelagic,at-vessel mortality,0.541,727,visual,1995,2012,sporadic,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Gallagher et al 2014,,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Hexanchus griseus,bluntnose sixgill shark,Hexanchidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0,8,visual,2010,2011,sporadic,ram,550,total_length,,1245,,placental viviparity,25,bathydemersal,Brooks et al 2015,caught between 504 and 791 m,LF,653,637,247,5,Hexanchus,griseus,Bluntnose sixgill shark,Hexanchus,griseus,Bluntnose sixgill shark,bluntnose sixgill shark
Hexanchus nakamurai,bigeye sixgill shark,Hexanchidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.071,14,visual,2010,2011,sporadic,ram,177.8,total_length,,351,,placental viviparity,,bathydemersal,Brooks et al 2015,caught between 504 and 791 m,LF,,,,,,,,Hexanchus,nakamurai,Bigeyed sixgill shark,bigeyed sixgill shark
Centrophorus sp,gulper shark,Centrophoridae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.294,51,visual,2010,2011,sporadic,stationary,,total_length,,,,yolk-sac viviparity,,bathydemersal,Brooks et al 2015,caught between 580 and 830 m,LF,,,,,,,,,,,
Centroscymnus owstoni,roughskin dogfish shark,Somniosidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.8,5,visual,2010,2011,sporadic,stationary,120,total_length,,804.5,,yolk-sac viviparity,,bathydemersal,Brooks et al 2015,caught between 841 and 1024 m,LF,,,,,,,,,,,
Squalus cubensis,cuban dogfish,Squalidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.091,55,visual,2010,2011,sporadic,stationary,110,total_length,,370.5,,yolk-sac viviparity,,demersal,Brooks et al 2015,caught between 472 and 730 m,LF,,,,,Squalus,cubensis,Cuban dogfish,Squalus,cubensis,Cuban dogfish,cuban dogfish
Galeus springeri,springers sawtail catshark,Scyliorhinidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0.667,3,visual,2010,2011,sporadic,stationary,53,total_length,,640.5,,oviparous,,bathypelagic,Brooks et al 2015,caught between 630 and 870 m,LF,,,,,,,,Galeus,springeri,Springer's sawtail cat shark,springer's sawtail cat shark
Pseudotriakis microdon,false catshark,Triakidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0,1,visual,2010,2011,sporadic,ram,296,total_length,,1265,,yolk-sac viviparity,,pelagic,Brooks et al 2015,caught at 790 m,LF,,,,,Pseudotriakis,microdon,False catshark,Pseudotriakis,microdon,False catshark,false catshark
Mustelus canis,dusky smoothhound shark,Triakidae,,longline,circle hook,research,,,,Atlantic,W,,Bahamas,deep-sea,at-vessel mortality,0,7,visual,2010,2011,sporadic,ram,155,total_length,,404,,yolk-sac viviparity,26,demersal,Brooks et al 2015,caught between 504 and 651 m,LF,2735,2539,244,488,,,,Mustelus,canis,Dusky smooth-hound,dusky smooth-hound
Orectolobus halei,banded wobbegong,Orectolobidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,3,visual,2013,2013,sporadic,stationary,256,total_length,,97.5,,oviparous,,demersal,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Orectolobus,halei,Banded wobbegong,Orectolobus,halei,Banded wobbegong,banded wobbegong
Orectolobus maculatus,spotted wobbegong,Orectolobidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,10,visual,2013,2013,sporadic,stationary,170,total_length,,124,,oviparous,,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Orectolobus,maculatus,Spotted wobbegong,Orectolobus,maculatus,Spotted wobbegong,spotted wobbegong
Orectolobus ornatus,ornate wobbegong,Orectolobidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,5,visual,2013,2013,sporadic,stationary,110,total_length,,52.5,,oviparous,,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Orectolobus,ornatus,Ornate wobbegong,Orectolobus,ornatus,Ornate wobbegong,ornate wobbegong
Carcharias taurus,sand tiger shark,Lamnidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,12,visual,2013,2013,sporadic,ram,325,total_length,,116,,oophagy,26,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,763,747,6871,740,Carcharias,taurus,Sand tiger shark,Carcharias,taurus,Sand tiger shark,sand tiger shark
Mustelus antarcticus,gummy shark,Triakidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.225,22,visual,2013,2013,sporadic,ram,185.2,total_length,,175.5,,yolk-sac viviparity,,demersal,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Mustelus,antarcticus,Gummy shark,Mustelus,antarcticus,Gummy shark,gummy shark
Carcharhinus brachyurus,copper shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.667,6,visual,2013,2013,sporadic,ram,322,total_length,,73,,placental viviparity,26,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,880,864,244,11,Carcharhinus,brachyurus,Copper shark,Carcharhinus,brachyurus,Copper shark,copper shark
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.956,50,visual,2013,2013,sporadic,ram,304,total_length,,100,,placental viviparity,,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Carcharhinus,brevipinna,Spinner shark,Carcharhinus,brevipinna,Spinner shark,spinner shark
Carcharhinus leucas,bull shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,1,visual,2013,2013,sporadic,ram,366,total_length,,82.5,,placental viviparity,,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Carcharhinus,leucas,Bull shark,Carcharhinus,leucas,Bull shark,bull shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.907,113,visual,2013,2013,sporadic,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.664,74,visual,2013,2013,sporadic,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.528,160,visual,2013,2013,sporadic,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.054,123,visual,2013,2013,sporadic,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.888,52,visual,2013,2013,sporadic,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Sphyrna zygaena,smooth hammerhead shark,Sphyrnidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,1,2,visual,2013,2013,sporadic,ram,400,total_length,,100,,placental viviparity,26,pelagic,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,933,917,244,12,,,,Sphyrna,zygaena,Smooth hammerhead,smooth hammerhead
Sphyrna mokarran,great hammerhead shark,Sphyrnidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,1,11,visual,2013,2013,sporadic,ram,610,total_length,,150,,placental viviparity,,pelagic,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,,,,Sphyrna,mokarran,Great hammerhead,great hammerhead
Rhynchobatus australiae,bottlenose wedgefish,Rhinidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0.125,8,visual,2013,2013,sporadic,stationary,300,total_length,,30,,yolk-sac viviparity,,demersal,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Rhynchobatus,australiae,Bottlenose wedgefish,Rhynchobatus,australiae,Bottlenose wedgefish,bottlenose wedgefish
Aptychotrema rostrata,eastern shovelnose ray,Rhinobatidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,2,visual,2013,2013,sporadic,stationary,120,total_length,,110,,yolk-sac viviparity,,demersal,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,Aptychotrema,rostrata,Eastern shovelnose ray,Aptychotrema,rostrata,Eastern shovelnose ray,eastern shovelnose ray
Bathytoshia brevicaudata,smooth stingray,Dasyatidae,,longline,,research,,,,Southern,SW,,Australia,coastal,at-vessel mortality,0,18,visual,2013,2013,sporadic,stationary,210,disk_width,,242.5,,histotrophy,,demersal,Butcher et al 2015,tested the mortality rate of specimens between 7 and 14 h soak times,LF,,,,,,,,Bathytoshia,brevicaudata,Short-tail stingray,short-tail stingray
Ginglymostoma cirratum,nurse shark,Ginglymostomatidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.003,311,visual,2010,2013,sporadic,ram,308,total_length,,65,,yolk-sac viviparity,27,reef-associated,Gulak et al 2015,,LF,2728,2532,247,493,Ginglymostoma,cirratum,Nurse shark,Ginglymostoma,cirratum,Nurse shark,nurse shark
Carcharias taurus,sand tiger shark,Lamnidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0,13,visual,2010,2013,sporadic,ram,325,total_length,,116,,oophagy,26,reef-associated,Gulak et al 2015,,LF,763,747,6871,740,Carcharias,taurus,Sand tiger shark,Carcharias,taurus,Sand tiger shark,sand tiger shark
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.664,110,visual,2010,2013,sporadic,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Gulak et al 2015,,LF,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Carcharhinus brevipinna,spinner shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.813,32,visual,2010,2013,sporadic,ram,304,total_length,,100,,placental viviparity,,reef-associated,Gulak et al 2015,,LF,,,,,Carcharhinus,brevipinna,Spinner shark,Carcharhinus,brevipinna,Spinner shark,spinner shark
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.571,35,visual,2010,2013,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Gulak et al 2015,,LF,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus leucas,bull shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.025,122,visual,2010,2013,sporadic,ram,366,total_length,,82.5,,placental viviparity,,reef-associated,Gulak et al 2015,,LF,,,,,Carcharhinus,leucas,Bull shark,Carcharhinus,leucas,Bull shark,bull shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.708,902,visual,2010,2013,sporadic,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Gulak et al 2015,,LF,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.702,104,visual,2010,2013,sporadic,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Gulak et al 2015,,LF,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus plumbeus,sandbar shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.169,933,visual,2010,2013,sporadic,ram,243,total_length,,140,,placental viviparity,27,benthopelagic,Gulak et al 2015,,LF,896,880,244,11,Carcharhinus,plumbeus,Sandbar shark,Carcharhinus,plumbeus,Sandbar shark,sandbar shark
Galeocerdo cuvier,tiger shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.089,270,visual,2010,2013,sporadic,ram,740,total_length,,556,,placental viviparity,26,benthopelagic,Gulak et al 2015,,LF,902,886,244,791,Galeocerdo,cuvier,Tiger shark,Galeocerdo,cuvier,Tiger shark,tiger shark
Negaprion brevirostris,lemon shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.042,24,visual,2010,2013,sporadic,ram,368,total_length,,60,,placental viviparity,27,reef-associated,Gulak et al 2015,,LF,913,897,244,11,Negaprion,brevirostris,Lemon shark,Negaprion,brevirostris,Lemon shark,lemon shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.894,902,visual,2010,2013,sporadic,ram,113,total_length,,140,,placental viviparity,,demersal,Gulak et al 2015,,LF,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.629,175,visual,2010,2013,sporadic,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Gulak et al 2015,,LF,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Sphyrna mokarran,great hammerhead shark,Sphyrnidae,,longline,circle hook,research,,,,Atlantic,W,,USA,coastal,at-vessel mortality,0.56,75,visual,2010,2013,sporadic,ram,610,total_length,,150,,placental viviparity,,pelagic,Gulak et al 2015,,LF,,,,,,,,Sphyrna,mokarran,Great hammerhead,great hammerhead
Rhincodon typus,whale shark,Rhincodontidae,,purse seine,,multispecies,,tuna,,Indian,W,,,pelagic,at-vessel mortality,0.026,38,visual,1995,2001,sporadic,ram,1700,total_length,,964,,yolk-sac viviparity,,pelagic,Capietto et al 2014,,LF,,,,,Rhincodon,typus,Whale shark,Rhincodon,typus,Whale shark,whale shark
Rhincodon typus,whale shark,Rhincodontidae,,purse seine,,multispecies,,tuna,,Atlantic,E,,,pelagic,at-vessel mortality,0.009,107,visual,1995,2001,sporadic,ram,1700,total_length,,964,,yolk-sac viviparity,,pelagic,Capietto et al 2014,,LF,,,,,Rhincodon,typus,Whale shark,Rhincodon,typus,Whale shark,whale shark
Sphyrna mokarran,great hammerhead shark,Sphyrnidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.958,393,visual,1994,2003,sporadic,ram,610,total_length,,150,,placental viviparity,,pelagic,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,,,,,,,,Sphyrna,mokarran,Great hammerhead,great hammerhead
Sphyrna lewini,scalloped hammerhead shark,Sphyrnidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.92,832,visual,1994,2003,sporadic,ram,430,total_length,,521.5,,placental viviparity,26,pelagic,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,928,912,244,12,,,,Sphyrna,lewini,Scalloped hammerhead,scalloped hammerhead
Carcharhinus falciformis,silky shark,Carcharhinidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.885,486,visual,1994,2003,sporadic,ram,350,total_length,,250,,placental viviparity,27,reef-associated,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,884,868,244,11,Carcharhinus,falciformis,Silky shark,Carcharhinus,falciformis,Silky shark,silky shark
Carcharhinus limbatus,blacktip shark,Carcharhinidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.861,5026,visual,1994,2003,sporadic,ram,286,total_length,,70,,placental viviparity,27,reef-associated,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,890,874,244,11,Carcharhinus,limbatus,Blacktip shark,Carcharhinus,limbatus,Blacktip shark,blacktip shark
Carcharhinus obscurus,dusky shark,Carcharhinidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.75,1651,visual,1994,2003,sporadic,ram,420,total_length,,250,,placental viviparity,26,reef-associated,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,894,878,244,11,Carcharhinus,obscurus,Dusky shark,Carcharhinus,obscurus,Dusky shark,dusky shark
Carcharhinus acronotus,blacknose shark,Carcharhinidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.7,2367,visual,1994,2003,sporadic,ram,164,total_length,,51.5,,placental viviparity,,reef-associated,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,,,,,Carcharhinus,acronotus,Blacknose shark,Carcharhinus,acronotus,Blacknose shark,blacknose shark
Rhizoprionodon terraenovae,atlantic sharpnose shark,Carcharhinidae,,longline,J and circle hooks,single species,,shark,USA,Atlantic,E,,Gulf of Mexico,coastal,at-vessel mortality,0.6,14860,visual,1994,2003,sporadic,ram,113,total_length,,140,,placental viviparity,,demersal,Morgan et al. 2009,"Both J and circle hooks were used by the vessels of Eastern gulf of Mexico, South easteen US, Mid Atlantic Bight.",ND,,,,,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,atlantic sharpnose shark
