SciName,r_fin
Hydrolagus novaezealandiae,0.1917834157
Cynoponticus coniceps,0.4092293866
Centroberyx affinis,0.3223067185
Centriscops humerosus,0.8656290664
Lepidoperca pulchella,0.3928226144
Caprodon longimanus,0.3928226144
Allothunnus fallai,0.5965182234
Ammodytes personatus,0.3440538855
Aphanopus carbo,0.3460890631
Aphareus rutilans,0.3122157554
Aprion virescens,0.5884863697
Apsilus fuscus,0.5911962728
Argentina sphyraena,0.2277031908
Atheresthes evermanni,0.1722365063
Caulolatilus microps,0.3455330779
Champsocephalus gunnari,0.3025856452
Channichthys rhinoceratus,0.2393947191
Coryphaenoides rupestris,0.07198689906
Cyclopterus lumpus,0.1442879898
Dentex angolensis,0.4585515054
Drepane africana,0.4778053462
Elops saurus,0.5736407895
Encrasicholina punctifer,1.630046044
Euthynnus lineatus,0.5161323086
Gadus ogac,0.3845949266
Galeus melastomus,0.1883592551
Gasterochisma melampus,0.5965182234
Joturus pichardi,0.6364147225
Labrus bergylta,0.2079384002
Leiostomus xanthurus,0.7664319991
Lophius piscatorius,0.3940219038
Macrourus berglax,0.08775209932
Merluccius senegalensis,0.1963140637
Pleurogrammus azonus,0.1595335032
Priacanthus macracanthus,0.9007485363
Pseudupeneus prayensis,0.8972458911
Salmo salar,0.7296281653
Scomberomorus brasiliensis,0.4946214336
Scomberomorus sierra,0.6255143454
Seriola lalandi,0.4344843874
Squatina californica,0.07555337329
Tetrapturus pfluegeri,0.48980251
Umbrina canosai,0.6805250615
Acipenser transmontanus,0.08634625958
Anarhichas denticulatus,0.1006708078
Anarhichas lupus,0.1049453849
Atherina boyeri,0.8125863471
Beryx decadactylus,0.1587068117
Caranx melampygus,0.562323474
Caranx sexfasciatus,0.7309462491
Chimaera monstrosa,0.1159927323
Chloroscombrus orqueta,0.8836620118
Cynoscion arenarius,0.7898004068
Dasyatis americana,0.5404934347
Decapterus macrosoma,1.339773422
Dussumieria acuta,0.8976476
Dussumieria elopsoides,0.7871766619
Engraulis mordax,0.4524230433
Etrumeus whiteheadi,0.4238495581
Gadiculus argenteus,0.9170866856
Gasterosteus aculeatus,0.9976328556
Hemiramphus balao,0.8891016657
Lethrinus atlanticus,0.4295830952
Lethrinus borbonicus,0.6362460078
Lethrinus microdon,0.4047581611
Lethrinus xanthochilus,0.3133546774
Lophius gastrophysus,0.4249217984
Muraena helena,0.1894176965
Mycteroperca phenax,0.2155957303
Pellona ditchela,0.7640440999
Pentaceros richardsoni,0.392870269
Petromyzon marinus,0.2916809483
Ruvettus pretiosus,0.4159568603
Sardinella lemuru,1.196835699
Sardinella longiceps,1.069202758
Scomberoides commersonnianus,0.9110243647
Selene peruviana,0.8824776334
Stereolepis gigas,0.2784442256
Stromateus fiatola,0.8387969824
Tetrapturus angustirostris,0.48980251
Tetrapturus belone,0.48980251
Trachinotus mookalee,0.8428354635
Trachinus draco,0.6301792688
Trichiurus lepturus,0.5832800222
Uranoscopus scaber,0.6446959441
Zeus faber,0.2135777845
Psettichthys melanostictus,0.3060590447
Normanichthys crockeri,0.4594781927
Sphyraena obtusata,0.6811573568
Umbrina canariensis,0.3787959761
Dentex congoensis,0.5533071183
Callorhinchus milii,0.114485214
Sphyraena jello,0.5976205958
Epinephelus merra,0.4314653084
Elops lacerta,0.5936239074
Scarus ghobban,0.5728409546
Cheilinus undulatus,0.3774617767
Gerres oblongus,1.495810086
Mustelus lenticulatus,0.1007425922
Mustelus schmitti,0.1474965413
Mustelus asterias,0.1329334579
Mustelus antarcticus,0.09002015572
Scophthalmus maximus,0.444655202
Plectropomus areolatus,0.3217269456
Cephalopholis argus,0.4531647407
Diastobranchus capensis,0.3676394387
Epinephelus polylepis,0.2814087547
Plectropomus pessuliferus,0.3217269456
Girella tricuspidata,0.1776933851
Fistularia corneta,0.8585337032
Seriolella porosa,0.3190654672
Bregmaceros mcclellandi,0.3895206175
Lepidorhynchus denticulatus,0.1761418489
Solea senegalensis,0.1405178112
Chelidonichthys lucerna,0.3456444355
Gerres nigri,1.495810086
Lophius vomerinus,0.4464572867
Cyttus traversi,0.4313796504
Aplodactylus punctatus,0.6301792688
Seriolella caerulea,0.3323385206
Stromateus brasiliensis,0.8387969824
Scarus persicus,0.6197332359
Cheilodactylus variegatus,0.3313642119
Genypterus chilensis,0.2034163154
Genypterus maculatus,0.2034163154
Rhinobatos planiceps,0.2126076902
Pennahia anea,1.31363675
Rhynchobatus australiae,0.2048109371
Himantura gerrardi,0.4001574172
Elagatis bipinnulata,0.8934282331
Pseudotolithus senegallus,0.4538957339
Moolgarda seheli,0.655286485
Coregonus lavaretus,0.3905233492
Eptatretus cirrhatus,0.14925158
Trigloporus lastoviza,0.194942701
Hoplopagrus guentherii,0.5028750765
Scomberesox saurus,0.6342686232
Tylosurus crocodilus,0.6964110612
